時間,設備,值
2024-10-12 15:59:03,switch,5
2024-10-12 15:59:04,Temperature,32.7
2024-10-12 15:59:04,LightLevel,2
2024-10-12 15:59:06,Temperature,33.6
2024-10-12 15:59:08,Temperature,32.7
2024-10-12 15:59:10,Temperature,33.1
2024-10-12 15:59:12,Temperature,32.7
2024-10-12 15:59:14,Temperature,33.1
2024-10-12 15:59:17,switch,6
2024-10-12 15:59:18,Temperature,32.7
2024-10-12 15:59:19,switch,7
2024-10-12 15:59:20,Temperature,33.1
2024-10-12 15:59:20,switch,8
2024-10-12 15:59:22,Temperature,32.7
2024-10-12 15:59:24,Temperature,33.1
2024-10-12 15:59:26,Temperature,32.7
2024-10-12 15:59:28,Temperature,33.1
2024-10-12 15:59:32,LightLevel,3
2024-10-12 15:59:34,LightLevel,2
2024-10-12 15:59:40,Temperature,32.7
2024-10-12 15:59:42,Temperature,33.1
2024-10-12 15:59:44,LightLevel,3
2024-10-12 15:59:48,Temperature,32.7
2024-10-12 15:59:48,LightLevel,2
2024-10-12 15:59:50,Temperature,33.1
2024-10-12 15:59:52,Temperature,32.7
2024-10-12 16:00:00,Temperature,33.6
2024-10-12 16:00:02,Temperature,33.1
2024-10-12 16:00:08,Temperature,32.7
2024-10-12 16:00:10,LightLevel,3
2024-10-12 16:00:12,Temperature,33.1
2024-10-12 16:00:14,LightLevel,2
2024-10-12 16:00:18,Temperature,32.7
2024-10-12 16:00:24,Temperature,33.1
2024-10-12 16:00:24,LightLevel,3
2024-10-12 16:00:26,Temperature,32.7
2024-10-12 16:00:28,Temperature,33.1
2024-10-12 16:00:28,LightLevel,2
2024-10-12 16:00:30,Temperature,33.6
2024-10-12 16:00:32,Temperature,33.1
2024-10-12 16:00:42,Temperature,32.7
2024-10-12 16:00:44,Temperature,33.1
2024-10-12 16:00:52,Temperature,32.7
2024-10-12 16:00:56,Temperature,33.1
2024-10-12 16:01:02,Temperature,32.7
2024-10-12 16:01:04,Temperature,33.1
2024-10-12 16:01:04,LightLevel,3
2024-10-12 16:01:08,Temperature,33.6
2024-10-12 16:01:08,LightLevel,2
2024-10-12 16:01:10,Temperature,33.1
2024-10-12 16:01:12,Temperature,32.7
2024-10-12 16:01:14,Temperature,33.1
2024-10-12 16:01:16,Temperature,32.7
2024-10-12 16:01:18,Temperature,33.1
2024-10-12 16:01:20,Temperature,32.7
2024-10-12 16:01:25,Temperature,33.1
2024-10-12 16:01:28,Temperature,32.7
2024-10-12 16:01:28,Temperature,33.1
2024-10-12 16:01:30,Temperature,32.7
2024-10-12 16:01:32,Temperature,33.1
2024-10-12 16:01:36,Temperature,32.7
2024-10-12 16:01:40,Temperature,33.1
2024-10-12 16:01:42,Temperature,32.7
2024-10-12 16:01:48,Temperature,33.1
2024-10-12 16:02:02,Temperature,32.7
2024-10-12 16:02:04,Temperature,33.1
2024-10-12 16:02:06,Temperature,33.6
2024-10-12 16:02:08,Temperature,33.1
2024-10-12 16:02:12,Temperature,32.7
2024-10-12 16:02:16,Temperature,33.1
2024-10-12 16:02:22,Temperature,32.7
2024-10-12 16:02:24,Temperature,33.1
2024-10-12 16:02:34,Temperature,32.7
2024-10-12 16:02:36,Temperature,33.1
2024-10-12 16:02:38,Temperature,33.6
2024-10-12 16:02:40,Temperature,33.1
2024-10-12 16:02:48,Temperature,32.7
2024-10-12 16:02:50,Temperature,33.1
2024-10-12 16:02:52,Temperature,32.7
2024-10-12 16:03:00,Temperature,33.1
2024-10-12 16:03:02,Temperature,32.7
2024-10-12 16:03:04,LightLevel,3
2024-10-12 16:03:18,LightLevel,2
2024-10-12 16:03:24,Temperature,33.1
2024-10-12 16:03:26,Temperature,32.7
2024-10-12 16:03:28,LightLevel,3
2024-10-12 16:03:32,LightLevel,2
2024-10-12 16:03:42,LightLevel,3
2024-10-12 16:03:44,LightLevel,2
2024-10-12 16:03:52,LightLevel,3
2024-10-12 16:03:56,LightLevel,2
2024-10-12 16:04:04,Temperature,32.2
2024-10-12 16:04:06,Temperature,32.7
2024-10-12 16:04:06,LightLevel,3
2024-10-12 16:04:08,LightLevel,2
2024-10-12 16:04:40,LightLevel,3
2024-10-12 16:04:42,LightLevel,2
2024-10-12 16:04:50,Temperature,32.2
2024-10-12 16:04:52,Temperature,32.7
2024-10-12 16:04:52,LightLevel,3
2024-10-12 16:04:56,LightLevel,2
2024-10-12 16:05:50,LightLevel,3
2024-10-12 16:06:00,LightLevel,2
2024-10-12 16:06:04,Temperature,33.1
2024-10-12 16:06:06,Temperature,32.7
2024-10-12 16:06:16,LightLevel,3
2024-10-12 16:06:22,LightLevel,2
2024-10-12 16:06:24,Temperature,33.1
2024-10-12 16:06:26,Temperature,32.7
2024-10-12 16:06:28,LightLevel,3
2024-10-12 16:06:34,LightLevel,2
2024-10-12 16:06:40,LightLevel,3
2024-10-12 16:06:44,LightLevel,2
2024-10-12 16:06:50,LightLevel,3
2024-10-12 16:06:54,LightLevel,2
2024-10-12 16:07:02,Temperature,33.1
2024-10-12 16:07:02,LightLevel,3
2024-10-12 16:07:04,Temperature,32.7
2024-10-12 16:07:06,Temperature,33.1
2024-10-12 16:07:06,LightLevel,2
2024-10-12 16:07:10,Temperature,32.7
2024-10-12 16:07:12,Temperature,33.1
2024-10-12 16:07:14,Temperature,32.7
2024-10-12 16:07:16,Temperature,33.1
2024-10-12 16:07:18,Temperature,32.7
2024-10-12 16:07:20,LightLevel,3
2024-10-12 16:07:24,LightLevel,2
2024-10-12 16:07:36,LightLevel,3
